class,fname,seconds,bytes
US,glb_S_000068_091_1181.flac,2.7,75346
US,glb_S_000068_091_1183.flac,1.7,52988
US,glb_S_000068_091_1184.flac,2.2,62509
US,glb_S_000068_091_1185.flac,2.2,66028
US,glb_S_000098_025_3935.flac,3.8,95948
US,glb_S_000098_025_3936.flac,3.299958,79272
US,glb_S_000098_025_3937.flac,2.2,54968
US,glb_S_000098_025_3938.flac,3.0,69950
US,glb_S_000115_106_902.flac,2.9,83014
US,glb_S_000115_106_903.flac,6.0,157130
US,glb_S_000115_106_909.flac,2.3,67894
US,glb_S_000115_106_916.flac,5.0,131674
US,glb_S_000115_106_918.flac,3.4,88068
US,glb_S_000115_106_921.flac,2.8,76403
US,glb_S_000115_106_923.flac,2.5,68554
US,glb_S_000115_106_924.flac,3.1,83260
US,glb_S_000115_106_925.flac,2.3,68395
US,glb_S_000115_106_930.flac,2.3,69920
US,glb_S_000115_106_932.flac,5.299958,142332
US,glb_S_000115_106_937.flac,5.5,145099
US,glb_S_000115_106_939.flac,2.5,73040
US,glb_S_000115_106_940.flac,2.8,71601
US,glb_S_000115_106_942.flac,2.9,79492
US,glb_S_000115_106_944.flac,3.6,93157
US,glb_S_000115_106_947.flac,3.4,99906
US,glb_S_000115_106_949.flac,3.3,93200
US,glb_S_000115_106_953.flac,2.4,67246
US,glb_S_000115_106_957.flac,2.5,71583
US,glb_S_000121_017_796.flac,2.2,53477
US,glb_S_000121_017_797.flac,5.8,144468
US,glb_S_000121_017_798.flac,2.9,75807
US,glb_S_000121_017_799.flac,3.7,89467
US,glb_S_000121_017_800.flac,1.1,33148
US,glb_S_000121_017_801.flac,4.3,111251
US,glb_S_000121_017_802.flac,1.6,44514
US,glb_S_000121_017_803.flac,1.6,40394
US,glb_S_000121_017_804.flac,3.5,90242
US,glb_S_000231_098_4256.flac,3.5,93839
US,glb_S_000231_098_4257.flac,5.3,130570
US,glb_S_000231_098_4258.flac,4.1,107991
US,glb_S_000231_098_4259.flac,5.4,128430
US,glb_S_000238_106_1411.flac,3.9,107118
US,glb_S_000238_106_1412.flac,2.0,58767
US,glb_S_000242_105_2481.flac,3.3,85206
US,glb_S_000242_105_2482.flac,2.9,76907
US,glb_S_000242_105_2483.flac,4.4,112767
US,glb_S_000242_105_2484.flac,2.3,63345
US,glb_S_000242_105_2485.flac,2.9,72812
US,glb_S_000251_001_2072.flac,4.3,119416
US,glb_S_000251_001_2073.flac,4.0,110895
US,glb_S_000251_001_2074.flac,4.8,128194
US,glb_S_000251_001_2075.flac,2.8,80765
US,glb_S_000276_003_1657.flac,5.500042,142322
US,glb_S_000276_003_1658.flac,4.199958,112145
US,glb_S_000276_003_1659.flac,4.7,126823
US,glb_S_000276_003_1660.flac,3.699958,101162
US,glb_S_000276_003_1661.flac,3.4,90696
US,glb_S_000276_003_1662.flac,6.999958,171546
US,glb_S_000276_003_1663.flac,2.4,67749
US,glb_S_000276_003_1664.flac,5.4,137740
US,glb_S_000276_003_1665.flac,3.4,97271
US,glb_S_000276_003_1666.flac,4.5,120281
US,glb_S_000276_003_1667.flac,3.5,97482
US,glb_S_000276_003_1668.flac,6.3,167924
US,glb_S_000276_003_1669.flac,4.6,124889
US,glb_S_000276_003_1670.flac,4.9,132132
US,glb_S_000276_003_1671.flac,5.1,141097
US,glb_S_000276_003_1672.flac,6.6,169367
US,glb_S_000276_003_1673.flac,4.299958,113357
US,glb_S_000276_003_1674.flac,3.799958,100125
US,glb_S_000276_003_1675.flac,4.0,115008
US,glb_S_000276_003_1676.flac,4.3,111022
US,glb_S_000310_006_2062.flac,5.4,146764
US,glb_S_000310_006_2063.flac,5.6,156658
US,glb_S_000310_006_2064.flac,4.8,138358
US,glb_S_000310_006_2065.flac,4.9,140113
US,glb_S_000310_006_2066.flac,5.599958,164400
US,glb_S_000310_006_2067.flac,6.6,177207
US,glb_S_000310_006_2068.flac,4.1,120151
US,glb_S_000310_006_2069.flac,3.9,111944
US,glb_S_000310_006_2070.flac,3.4,92372
US,glb_S_000310_006_2071.flac,5.399958,149533
US,glb_S_000310_006_2072.flac,3.0,91069
US,glb_S_000310_006_2073.flac,2.5,74975
US,glb_S_000310_006_2074.flac,5.2,150250
US,glb_S_000310_006_2075.flac,4.0,109600
US,glb_S_000311_004_4851.flac,4.1,116477
US,glb_S_000311_004_4852.flac,5.4,149892
US,glb_S_000311_004_4853.flac,5.5,145887
US,glb_S_000311_004_4854.flac,6.5,171989
US,glb_S_000311_004_4855.flac,3.699958,101919
US,glb_S_000311_004_4856.flac,4.2,114558
US,glb_S_000311_004_4857.flac,4.6,128354
US,glb_S_000311_004_4858.flac,5.6,151198
US,glb_S_000311_004_4859.flac,3.199958,88650
US,glb_S_000311_004_4860.flac,4.4,119535
US,glb_S_000311_004_4861.flac,4.099958,116855
US,glb_S_000406_013_261.flac,1.9,57960
US,glb_S_000406_013_262.flac,1.3,37821
US,glb_S_000406_013_263.flac,1.899958,52974
US,glb_S_000406_013_264.flac,3.7,99561
US,glb_S_000406_013_265.flac,2.9,78497
US,glb_S_000406_013_266.flac,2.0,57558
US,glb_S_000406_013_267.flac,2.172,55828
US,glb_S_000406_013_268.flac,3.652,93667
US,glb_S_000406_013_269.flac,3.399958,85396
US,glb_S_000406_013_270.flac,4.5,120007
US,glb_S_000406_013_271.flac,2.6,68818
US,glb_S_000406_013_272.flac,5.0,130865
US,glb_S_000406_013_273.flac,2.4,63409
US,glb_S_000406_013_274.flac,3.1,84101
US,glb_S_000406_013_275.flac,2.899958,79729
US,glb_S_000406_013_276.flac,3.3,93490
US,glb_S_000406_013_277.flac,3.8,102233
US,glb_S_000406_013_278.flac,3.899958,105615
US,glb_S_000406_013_279.flac,1.3,37486
US,glb_S_000436_001_2593.flac,4.4,118517
US,glb_S_000436_001_2594.flac,2.3,60371
US,glb_S_000436_001_2595.flac,1.9,54094
US,glb_S_000436_001_2596.flac,2.4,68591
US,glb_S_000436_001_2597.flac,1.2,35163
US,glb_S_000439_102_1192.flac,3.2,82912
US,glb_S_000439_102_1193.flac,2.7,70556
US,glb_S_000439_102_1194.flac,4.300042,109192
US,glb_S_000439_102_1195.flac,2.2,61929
US,glb_S_000492_076_2866.flac,2.5,66104
US,glb_S_000492_076_2867.flac,2.6,68219
US,glb_S_000492_076_2868.flac,3.6,93113
US,glb_S_000516_088_172.flac,5.1,138080
US,glb_S_000516_088_173.flac,3.1,87837
US,glb_S_000516_088_174.flac,2.4,70430
US,glb_S_000516_088_175.flac,3.0,81736
US,glb_S_000574_064_2806.flac,3.9,109523
US,glb_S_000574_064_2807.flac,3.3,74143
US,glb_S_000574_064_2808.flac,3.9,95804
US,glb_S_000574_064_2809.flac,4.667958,104963
US,glb_S_000583_045_2720.flac,4.7,121441
US,glb_S_000583_045_2721.flac,4.499958,120311
US,glb_S_000583_045_2722.flac,3.283958,85801
US,glb_S_000583_045_2723.flac,2.4,66395
US,glb_S_000653_006_3497.flac,4.8,127466
US,glb_S_000653_006_3498.flac,3.2,90870
US,glb_S_000653_006_3499.flac,4.599958,118666
US,glb_S_000653_006_3500.flac,4.0,103309
US,glb_S_000653_006_3501.flac,4.099958,113206
US,glb_S_000653_006_3502.flac,3.1,80875
US,glb_S_000653_006_3503.flac,4.699958,122899
US,glb_S_000706_019_638.flac,3.9,103812
US,glb_S_000706_019_639.flac,4.599958,121337
US,glb_S_000706_019_640.flac,3.6,103400
US,glb_S_001009_004_1721.flac,1.7,49045
US,glb_S_001009_004_1722.flac,1.8,54095
US,glb_S_001009_004_1723.flac,2.4,66219
US,glb_S_001009_004_1724.flac,1.4,43044
US,glb_S_001009_004_1726.flac,2.3,64587
US,glb_S_001009_004_1728.flac,2.5,69770
US,glb_S_001009_004_1729.flac,3.0,79318
US,glb_S_001009_004_1731.flac,2.2,56153
US,glb_S_001009_004_1732.flac,1.5,44949
US,glb_S_001009_004_1733.flac,1.5,46492
US,glb_S_001009_004_1734.flac,2.2,59292
US,glb_S_001009_004_1735.flac,2.2,58265
US,glb_S_001009_004_1736.flac,2.4,69063
US,glb_S_001009_004_1738.flac,2.7,69966
US,glb_S_001009_004_1740.flac,2.6,73512
US,glb_S_001009_004_1741.flac,1.6,45982
US,glb_S_001009_004_1743.flac,1.1,33479
US,glb_S_001009_004_1745.flac,1.8,48800
US,glb_S_001009_004_1746.flac,2.4,66503
US,glb_S_001009_004_1748.flac,2.4,67157
US,glb_S_001015_013_663.flac,4.2,100749
US,glb_S_001015_013_664.flac,5.168,128571
US,glb_S_001015_013_665.flac,2.9,70654
US,glb_S_001043_098_284.flac,5.4,146427
US,glb_S_001043_098_285.flac,5.4,137900
US,glb_S_001043_098_286.flac,3.799958,105166
US,glb_S_001049_005_4718.flac,5.3,134421
US,glb_S_001049_005_4719.flac,1.6,45304
US,glb_S_001049_005_4720.flac,5.2,133770
US,glb_S_001049_005_4721.flac,4.9,128344
US,glb_S_001059_024_3263.flac,1.3,36789
US,glb_S_001059_024_3264.flac,2.3,62231
US,glb_S_001059_024_3265.flac,4.0,104737
US,glb_S_001059_024_3266.flac,2.7,72955
US,glb_S_001059_024_3267.flac,3.7,90089
US,glb_S_001078_058_2724.flac,5.284,138011
US,glb_S_001078_058_2725.flac,3.8,98398
US,glb_S_001078_058_2726.flac,2.8,72522
US,glb_S_001078_058_2727.flac,2.1,60045
US,glb_S_001078_058_2728.flac,3.5,92295
US,glb_S_001078_058_2729.flac,1.5,41956
US,glb_S_001078_058_2730.flac,1.6,43985
US,glb_S_001078_058_2731.flac,3.188,82787
US,glb_S_001078_058_2732.flac,4.3,115471
US,glb_S_001133_020_5102.flac,3.5,95473
US,glb_S_001133_020_5103.flac,4.2,112545
US,glb_S_001133_020_5104.flac,4.5,118373
US,glb_S_001133_020_5105.flac,3.099958,80202
US,glb_S_001133_020_5106.flac,5.1,127226
US,glb_S_001133_020_5107.flac,4.2,111816
US,glb_S_001133_020_5108.flac,4.8,128863
US,glb_S_001133_020_5109.flac,2.5,65703
US,glb_S_001133_020_5110.flac,2.3,62079
US,glb_S_001133_020_5111.flac,4.2,117450
US,glb_S_001133_020_5112.flac,2.8,75371
US,glb_S_001133_020_5113.flac,4.8,125966
US,glb_S_001230_100_2928.flac,5.7,161084
US,glb_S_001230_100_2929.flac,2.3,69319
US,glb_S_001230_100_2930.flac,5.2,141374
US,glb_S_001230_100_2931.flac,5.4,154199
US,glb_S_001230_100_2932.flac,3.6,108475
US,glb_S_001230_100_2933.flac,1.9,57912
US,glb_S_001230_100_2934.flac,1.9,59919
US,glb_S_001230_100_2935.flac,3.9,105318
US,glb_S_001230_100_2936.flac,4.1,121279
US,glb_S_001230_100_2937.flac,3.499958,92603
US,glb_S_001230_100_2938.flac,4.6,129043
US,glb_S_001230_100_2939.flac,3.799958,110589
US,glb_S_001230_100_2940.flac,2.3,64340
US,glb_S_001264_023_4004.flac,2.4,64416
US,glb_S_001264_023_4005.flac,3.7,96996
US,glb_S_001264_023_4006.flac,3.6,98398
US,glb_S_001264_023_4007.flac,1.0,33622
US,glb_S_001290_064_1411.flac,5.4,136658
US,glb_S_001290_064_1412.flac,4.9,130015
US,glb_S_001290_064_1413.flac,2.4,64741
US,glb_S_001290_064_1414.flac,5.2,133345
US,glb_S_001375_029_2286.flac,5.2,129770
US,glb_S_001375_029_2287.flac,2.3,56938
US,glb_S_001375_029_2288.flac,2.999958,80720
US,glb_S_001375_029_2289.flac,4.399958,113670
US,glb_S_001375_029_2290.flac,1.6,49124
US,glb_S_001386_011_367.flac,4.1,105911
US,glb_S_001386_011_378.flac,3.499958,93429
US,glb_S_001386_011_380.flac,2.4,67138
US,glb_S_001386_011_390.flac,4.1,111868
US,glb_S_001386_011_423.flac,4.7,126289
US,glb_S_001386_011_466.flac,1.0,32596
US,glb_S_001386_011_468.flac,4.600042,118685
US,glb_S_001386_011_477.flac,4.2,103290
US,glb_S_001386_011_502.flac,3.900042,97025
US,glb_S_001386_011_507.flac,3.2,88974
US,glb_S_001386_011_510.flac,4.7,118602
US,glb_S_001386_011_514.flac,5.3,132328
US,glb_S_001386_011_536.flac,4.4,113757
US,glb_S_001386_011_548.flac,4.5,106508
US,glb_S_001386_011_549.flac,4.2,112565
US,glb_S_001386_011_552.flac,3.5,89673
US,glb_S_001386_011_556.flac,3.8,102179
US,glb_S_001386_011_561.flac,3.6,90931
US,glb_S_001386_011_570.flac,5.6,146644
US,glb_S_001386_011_583.flac,1.5,41513
US,glb_S_001440_074_50.flac,5.699958,141507
US,glb_S_001440_074_51.flac,1.3,35977
US,glb_S_001440_074_52.flac,1.2,36709
US,glb_S_001440_074_53.flac,1.2,36880
US,glb_S_001451_099_834.flac,3.6,91277
US,glb_S_001451_099_835.flac,0.999958,32298
US,glb_S_001451_099_836.flac,2.1,55794
US,glb_S_001507_088_2586.flac,2.7,72207
US,glb_S_001507_088_2587.flac,3.599958,98994
US,glb_S_001507_088_2588.flac,1.099958,36382
US,glb_S_001507_088_2589.flac,3.4,94559
US,glb_S_001515_026_3337.flac,3.5,94485
US,glb_S_001515_026_3338.flac,4.864,126081
US,glb_S_001515_026_3339.flac,3.0,81367
US,glb_S_001515_026_3340.flac,4.0,102140
US,glb_S_001519_068_4233.flac,1.8,49065
US,glb_S_001519_068_4234.flac,1.9,56109
US,glb_S_001538_105_291.flac,3.7,103354
US,glb_S_001538_105_292.flac,5.1,136149
US,glb_S_001538_105_293.flac,2.3,65901
US,glb_S_001538_105_294.flac,4.199958,117100
US,glb_S_001545_021_328.flac,4.3,120901
US,glb_S_001545_021_329.flac,4.6,117915
US,glb_S_001545_021_330.flac,2.6,76668
US,glb_S_001545_021_331.flac,5.299958,138598
US,glb_S_001568_072_3676.flac,3.1,84180
US,glb_S_001568_072_3677.flac,5.2,137698
US,glb_S_001568_072_3678.flac,5.3,138726
US,glb_S_001568_072_3679.flac,3.8,96603
US,glb_S_001591_018_3556.flac,5.6,153575
US,glb_S_001591_018_3557.flac,4.900042,130759
US,glb_S_001591_018_3558.flac,4.0,111476
US,glb_S_001591_018_3559.flac,3.6,98367
US,glb_S_001591_018_3560.flac,4.3,113021
US,glb_S_001681_064_3687.flac,3.8,95879
US,glb_S_001681_064_3688.flac,2.999958,77215
US,glb_S_001681_064_3689.flac,3.699958,86518
US,glb_S_001681_064_3690.flac,2.399958,63636
US,glb_S_001681_064_3691.flac,2.8,74086
US,glb_S_001681_064_3692.flac,2.4,64977
US,glb_S_001681_064_3693.flac,2.700042,72520
US,glb_S_001681_064_3694.flac,3.4,78838
US,glb_S_001681_064_3695.flac,2.8,70862
US,glb_S_001681_064_3696.flac,1.9,50464
US,glb_S_001681_064_3697.flac,5.2,122443
US,glb_S_001681_064_3698.flac,2.9,73032
US,glb_S_001689_081_982.flac,1.796,52046
US,glb_S_001689_081_983.flac,1.364,40673
US,glb_S_001689_081_984.flac,2.0,56462
US,glb_S_001689_081_985.flac,1.5,38915
US,glb_S_001689_081_986.flac,2.999958,78921
US,glb_S_001689_081_987.flac,2.0,55170
US,glb_S_001689_081_988.flac,1.4,42015
US,glb_S_001689_081_989.flac,0.7,24738
US,glb_S_001689_081_990.flac,3.696,90422
US,glb_S_001689_081_991.flac,1.4,40747
US,glb_S_001689_081_992.flac,3.196,81438
US,glb_S_001689_081_993.flac,4.3,110200
US,glb_S_001689_081_994.flac,3.699958,89594
US,glb_S_001689_081_995.flac,3.6,98733
US,glb_S_001689_081_996.flac,1.884,52760
US,glb_S_001689_081_997.flac,1.364,36853
US,glb_S_001689_081_998.flac,0.999958,32132
US,glb_S_001689_081_999.flac,1.4,37700
US,glb_S_001703_104_3417.flac,4.4,121403
US,glb_S_001703_104_3418.flac,2.0,60869
US,glb_S_001762_090_4798.flac,4.1,116206
US,glb_S_001762_090_4799.flac,4.399958,121695
US,glb_S_001762_090_4800.flac,3.7,105509
US,glb_S_001762_090_4801.flac,6.2,170599
US,glb_S_001762_090_4802.flac,5.5,151762
US,glb_S_001822_018_4584.flac,4.9,135257
US,glb_S_001822_018_4585.flac,4.5,118243
US,glb_S_001822_018_4586.flac,3.3,88106
US,glb_S_001822_018_4587.flac,3.699958,101233
US,glb_S_001822_018_4588.flac,4.7,134293
US,glb_S_001822_018_4589.flac,5.6,145133
US,glb_S_001822_018_4590.flac,3.2,86462
US,glb_S_001822_018_4591.flac,3.899958,109577
US,glb_S_001845_100_3047.flac,2.0,51468
US,glb_S_001845_100_3048.flac,4.1,103140
US,glb_S_001845_100_3049.flac,4.199958,108394
US,glb_S_001845_100_3050.flac,2.1,54840
US,glb_S_001845_100_3051.flac,2.4,65114
US,glb_S_001845_100_3052.flac,2.5,69852
US,glb_S_001845_100_3053.flac,2.8,70821
US,glb_S_001845_100_3054.flac,2.8,78857
US,glb_S_001845_100_3055.flac,3.7,101747
US,glb_S_001845_100_3056.flac,2.5,65979
US,glb_S_001845_100_3057.flac,4.299917,107626
US,glb_S_001848_079_4966.flac,1.2,34879
US,glb_S_001848_079_4967.flac,1.9,53151
US,glb_S_001848_079_4968.flac,5.399958,132923
US,glb_S_001848_079_4969.flac,2.7,73033
US,glb_S_001848_079_4970.flac,2.2,59938
US,glb_S_001848_079_4971.flac,2.1,55182
US,glb_S_001848_079_4972.flac,1.9,48302
US,glb_S_001848_079_4973.flac,4.1,105446
US,glb_S_001860_071_1281.flac,4.6,128147
US,glb_S_001860_071_1282.flac,4.8,125368
US,glb_S_001860_071_1283.flac,3.1,85680
US,glb_S_001860_071_1284.flac,3.1,87900
US,glb_S_001860_071_1285.flac,2.8,78981
US,glb_S_001860_071_1286.flac,3.9,106053
US,glb_S_001860_071_1287.flac,4.8,129034
US,glb_S_001860_071_1288.flac,2.4,62483
US,glb_S_001860_071_1289.flac,2.1,59979
US,glb_S_001860_071_1290.flac,2.4,68062
US,glb_S_001860_071_1291.flac,3.1,85584
US,glb_S_001860_071_1292.flac,2.1,59100
US,glb_S_001860_071_1293.flac,3.7,97728
US,glb_S_001860_071_1294.flac,4.099958,111936
US,glb_S_001860_071_1295.flac,4.9,126192
US,glb_S_001888_075_2274.flac,3.5,90598
US,glb_S_001888_075_2279.flac,3.7,98637
US,glb_S_001888_075_2280.flac,3.8,94256
US,glb_S_001888_075_2281.flac,4.9,130993
US,glb_S_001888_075_2283.flac,4.2,111582
US,glb_S_001888_075_2286.flac,4.8,114154
US,glb_S_001888_075_2287.flac,5.6,140313
US,glb_S_001888_075_2289.flac,4.1,110151
US,glb_S_001888_075_2290.flac,4.1,101906
US,glb_S_001888_075_2293.flac,4.8,117867
US,glb_S_001888_075_2294.flac,4.2,107508
US,glb_S_001888_075_2298.flac,5.099958,132304
US,glb_S_001888_075_2299.flac,4.3,111752
US,glb_S_001888_075_2300.flac,6.000042,143522
US,glb_S_001888_075_2307.flac,6.799958,174375
US,glb_S_001888_075_2308.flac,5.1,116364
US,glb_S_001888_075_2322.flac,5.900042,147659
US,glb_S_001888_075_2323.flac,5.3,131269
US,glb_S_001888_075_2326.flac,5.2,127495
US,glb_S_001888_075_2328.flac,4.9,127822
US,glb_S_001904_107_3993.flac,1.4,42036
US,glb_S_001904_107_3994.flac,4.4,112911
US,glb_S_001904_107_3995.flac,2.9,73920
US,glb_S_001912_021_3608.flac,3.5,96264
US,glb_S_001912_021_3609.flac,4.9,129442
US,glb_S_001912_021_3610.flac,4.8,127715
US,glb_S_001919_058_2051.flac,4.499958,119612
US,glb_S_001919_058_2052.flac,2.6,72559
US,glb_S_001919_058_2056.flac,4.1,105714
US,glb_S_001919_058_2059.flac,4.2,113950
US,glb_S_001919_058_2060.flac,2.7,74669
US,glb_S_001919_058_2061.flac,3.8,106457
US,glb_S_001919_058_2062.flac,3.7,97041
US,glb_S_001919_058_2064.flac,4.1,102543
US,glb_S_001919_058_2065.flac,3.4,92031
US,glb_S_001919_058_2066.flac,3.9,107709
US,glb_S_001919_058_2067.flac,4.5,120941
US,glb_S_001919_058_2068.flac,2.5,67058
US,glb_S_001919_058_2069.flac,2.6,75067
US,glb_S_001919_058_2070.flac,2.2,63317
US,glb_S_001919_058_2071.flac,2.7,76386
US,glb_S_001919_058_2073.flac,4.4,118690
US,glb_S_001919_058_2075.flac,3.1,80403
US,glb_S_001919_058_2077.flac,4.1,104746
US,glb_S_001919_058_2080.flac,3.799958,101164
US,glb_S_001919_058_2081.flac,2.7,72606
US,glb_S_001923_103_192.flac,6.0,165570
US,glb_S_001923_103_193.flac,2.4,67384
US,glb_S_001923_103_194.flac,2.4,71390
US,glb_S_001923_103_195.flac,3.5,97053
US,glb_S_001923_103_196.flac,5.296,146342
US,glb_S_001931_098_343.flac,3.8,104578
US,glb_S_001931_098_344.flac,5.2,127027
US,glb_S_001931_098_345.flac,4.7,111203
US,glb_S_001973_077_976.flac,2.5,68470
US,glb_S_001973_077_977.flac,4.0,103968
US,glb_S_001973_077_978.flac,4.1,104386
US,glb_S_001973_077_979.flac,5.000042,130748
US,glb_S_001977_005_2667.flac,3.2,86817
US,glb_S_001977_005_2668.flac,3.499958,90921
US,glb_S_001977_005_2669.flac,3.7,95843
US,glb_S_001985_016_4246.flac,3.2,86688
US,glb_S_001985_016_4247.flac,3.9,106766
US,glb_S_001985_016_4248.flac,2.2,59773
US,glb_S_001985_016_4249.flac,3.8,102468
US,glb_S_001985_016_4250.flac,2.4,68502
US,glb_S_001985_016_4251.flac,2.8,77426
US,glb_S_001985_016_4252.flac,1.3,40682
US,glb_S_002050_056_1106.flac,3.2,92243
US,glb_S_002050_056_1107.flac,4.8,130643
US,glb_S_002050_056_1108.flac,3.8,104572
US,glb_S_002050_056_1109.flac,4.3,122590
US,glb_S_002050_056_1110.flac,2.7,77815
US,glb_S_002050_056_1111.flac,3.3,89446
US,glb_S_002050_056_1112.flac,3.5,101303
US,glb_S_002050_056_1113.flac,5.5,152914
US,glb_S_002050_056_1114.flac,4.6,123169
US,glb_S_002050_056_1115.flac,5.000083,134810
US,glb_S_002050_056_1116.flac,5.300042,149359
US,glb_S_002050_056_1117.flac,7.199958,188450
US,glb_S_002050_056_1118.flac,6.5,167589
US,glb_S_002067_073_2625.flac,2.6,70757
US,glb_S_002067_073_2626.flac,2.6,73577
US,glb_S_002067_073_2627.flac,3.6,98797
US,glb_S_002067_073_2628.flac,3.3,91132
US,glb_S_002067_073_2629.flac,3.992,112602
US,glb_S_002067_073_2630.flac,3.9,106899
US,glb_S_002067_073_2631.flac,4.0,108668
US,glb_S_002067_073_2632.flac,1.1,34195
US,glb_S_002067_073_2633.flac,3.5,92701
US,glb_S_002067_073_2634.flac,3.068,82579
US,glb_S_002067_073_2635.flac,3.2,91999
US,glb_S_002067_073_2636.flac,4.1,116033
US,glb_S_002067_073_2637.flac,3.1,90400
US,glb_S_002067_073_2638.flac,2.5,71105
US,glb_S_002067_073_2639.flac,2.4,70004
US,glb_S_002067_073_2640.flac,4.3,117240
US,glb_S_002067_073_2641.flac,2.1,61777
US,glb_S_002095_093_243.flac,5.3,140638
US,glb_S_002095_093_244.flac,3.8,104099
US,glb_S_002156_108_4819.flac,2.2,60022
US,glb_S_002156_108_4820.flac,2.3,66845
US,glb_S_002156_108_4821.flac,3.4,93528
US,glb_S_002156_108_4822.flac,2.9,82372
US,glb_S_002156_108_4823.flac,4.2,111934
US,glb_S_002156_108_4824.flac,3.5,95553
US,glb_S_002156_108_4825.flac,3.5,95093
US,glb_S_002156_108_4826.flac,3.9,106823
US,glb_S_002156_108_4827.flac,2.8,80816
US,glb_S_002156_108_4828.flac,3.0,86543
US,glb_S_002159_089_2837.flac,4.0,117333
US,glb_S_002159_089_2838.flac,1.599958,51830
US,glb_S_002159_089_2839.flac,3.9,114161
US,glb_S_002159_089_2840.flac,3.999958,112057
US,glb_S_002196_055_4122.flac,4.199958,108658
US,glb_S_002196_055_4123.flac,3.0,79675
US,glb_S_002196_055_4124.flac,3.4,85291
US,glb_S_002196_055_4125.flac,3.6,93959
US,glb_S_002196_055_4126.flac,2.3,64678
US,glb_S_002196_055_4127.flac,3.699958,94052
US,glb_S_002196_055_4128.flac,3.5,87866
US,glb_S_002196_055_4129.flac,4.5,114009
US,glb_S_002196_055_4130.flac,3.1,80990
US,glb_S_002196_055_4131.flac,2.5,72653
US,glb_S_002196_055_4132.flac,4.0,101456
US,glb_S_002196_055_4133.flac,4.4,111072
US,glb_S_002220_002_294.flac,1.4,40921
US,glb_S_002220_002_295.flac,1.8,49727
US,glb_S_002220_002_296.flac,1.5,44141
US,glb_S_002233_065_2480.flac,6.2,152012
US,glb_S_002233_065_2485.flac,2.1,53673
US,glb_S_002233_065_2487.flac,5.2,132197
US,glb_S_002233_065_2495.flac,4.2,105720
US,glb_S_002233_065_2497.flac,1.8,51259
US,glb_S_002233_065_2498.flac,3.4,91978
US,glb_S_002233_065_2501.flac,4.4,111043
US,glb_S_002233_065_2507.flac,2.9,76153
US,glb_S_002233_065_2508.flac,2.3,60395
US,glb_S_002233_065_2523.flac,2.299958,61292
US,glb_S_002233_065_2526.flac,2.0,57976
US,glb_S_002233_065_2529.flac,4.3,111435
US,glb_S_002233_065_2547.flac,4.2,108078
US,glb_S_002233_065_2550.flac,3.0,75649
US,glb_S_002233_065_2554.flac,5.0,123489
US,glb_S_002233_065_2556.flac,2.8,78970
US,glb_S_002233_065_2564.flac,5.0,129861
US,glb_S_002233_065_2580.flac,4.299958,111037
US,glb_S_002233_065_2584.flac,3.4,87994
US,glb_S_002233_065_2604.flac,3.5,94590
US,glb_S_002355_076_3243.flac,1.1,35331
US,glb_S_002355_076_3244.flac,3.0,86445
US,glb_S_002355_076_3245.flac,1.2,37322
US,glb_S_002563_014_2206.flac,3.8,102117
US,glb_S_002563_014_2207.flac,2.6,74001
US,glb_S_002563_014_2208.flac,2.4,66662
